county,station
Ada,USW00024131
Adams,USW00094182
Bannock,USW00024156
Bear Lake,USW00024156
Benewah,USW00024149
Bingham,USW00024156
Blaine,USW00004110
Boise,USW00024131
Bonner,USS0016A14S
Bonneville,USW00024145
Boundary,USS0016A14S
Butte,USW00024156
Camas,USW00004112
Canyon,USW00024131
Caribou,USW00024145
Cassia,USW00024133
Clark,USW00094194
Clearwater,USW00004109
Custer,USW00004114
Elmore,USW00024131
Franklin,USW00024156
Fremont,USW00094194
Gem,USW00024131
Gooding,USW00004110
Idaho,USW00004109
Jefferson,USW00024145
Jerome,USW00004110
Kootenai,USS0016A14S
Latah,USW00024149
Lemhi,USW00004114
Lewis,USW00024149
Lincoln,USW00004110
Madison,USW00094194
Minidoka,USW00024133
Nez Perce,USW00024149
Oneida,USW00024156
Owyhee,USW00024131
Payette,USW00024131
Power,USW00024156
Shoshone,USW00004109
Teton,USW00094194
Twin Falls,USW00094178
Valley,USW00094182
Washington,USW00094182
