FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
1992,Adams,0,1.4,0.5
1992,Benewah,0,32.8,20.0
1992,Boise,0,141.0,85.0
1992,Bonner,0,88.7,34.0
1992,Boundary,0,13.8,3.0
1992,Clearwater,0,168.5,78.0
1992,Gem,0,200.5,200.0
1992,Idaho,0,691.5,410.0
1992,Kootenai,0,122.3,75.0
1992,Latah,0,449.3,376.0
1992,Lewis,0,307.3,108.0
1992,Nez Perce,0,867.6999999999999,615.0
1992,Shoshone,0,9.8,3.0
1992,Valley,0,99.5,65.0
1993,Ada,0,0.1,0.1
1993,Adams,0,1.3,0.4
1993,Benewah,0,37.3,25.0
1993,Boise,0,130.8,63.0
1993,Bonner,0,13.3,8.0
1993,Boundary,0,11.1,5.5
1993,Clearwater,0,36.3,30.0
1993,Gem,0,40.0,40.0
1993,Idaho,0,30.6,25.0
1993,Kootenai,0,6.3,3.0
1993,Latah,0,39.6,26.0
1993,Lewis,0,458.2,250.0
1993,Nez Perce,0,19.3,7.0
1993,Shoshone,0,0.8,0.1
1993,Valley,0,10.6,2.5
1994,Ada,14,6481.599999999999,5111.0
1994,Adams,0,1.2,0.3
1994,Benewah,0,122.8,50.0
1994,Boise,0,7.7,3.0
1994,Bonner,0,128.9,47.0
1994,Boundary,0,170.6,96.0
1994,Clearwater,0,300.3,27.0
1994,Idaho,0,684.9,380.0
1994,Kootenai,0,124.8,50.0
1994,Latah,0,300.9,80.0
1994,Lewis,0,131.0,85.0
1994,Nez Perce,0,1468.6,386.0
1994,Shoshone,0,38.3,8.0
1994,Valley,0,1768.3000000000002,1693.0
1995,Ada,9,1072.1999999999998,273.4
1995,Adams,0,0.9,0.2
1995,Benewah,0,1.8,0.5
1995,Boise,0,83.7,52.0
1995,Bonner,0,11.2,2.0
1995,Boundary,0,7.5,2.0
1995,Clearwater,0,18.3,4.0
1995,Gem,0,0.3,0.1
1995,Idaho,0,105.0,100.0
1995,Kootenai,0,17.5,5.0
1995,Latah,0,35.6,20.0
1995,Lewis,0,11.1,5.0
1995,Nez Perce,0,95.4,65.0
1995,Shoshone,0,64.1,60.0
1995,Valley,0,20.0,4.3
1996,Ada,22,25542.3,13091.4
1996,Adams,0,1.1,0.8
1996,Benewah,0,16.599999999999998,10.0
1996,Boise,0,22.5,17.0
1996,Bonner,0,54.0,40.0
1996,Boundary,0,7.1000000000000005,5.0
1996,Clearwater,0,254.9,230.0
1996,Idaho,0,571.1,180.0
1996,Kootenai,0,45.7,8.0
1996,Latah,0,22.1,13.0
1996,Lemhi,1,150.0,150.0
1996,Lewis,0,309.3,200.0
1996,Nez Perce,0,607.1,600.0
1996,Shoshone,0,8.2,5.0
1996,Valley,0,11.0,1.5
1997,Ada,87,527.6,356.3
1997,Adams,0,1.1,0.8
1997,Benewah,0,5.300000000000001,4.2
1997,Boise,0,7.2,4.0
1997,Bonner,0,11.6,3.0
1997,Boundary,0,2.8,1.0
1997,Clearwater,0,69.6,31.0
1997,Gem,0,40.1,40.0
1997,Idaho,0,34.3,25.0
1997,Kootenai,0,13.6,2.0
1997,Latah,0,10.8,3.0
1997,Lewis,0,11.0,10.0
1997,Nez Perce,0,508.2,500.0
1997,Shoshone,0,1.2,0.3
1997,Valley,0,45.5,30.0
1998,Adams,0,0.8,0.3
1998,Benewah,0,7.5,3.0
1998,Boise,0,2.3,1.0
1998,Bonner,0,66.9,30.0
1998,Boundary,0,47.0,23.0
1998,Clearwater,0,65.3,31.0
1998,Idaho,0,147.4,140.0
1998,Kootenai,0,75.9,30.0
1998,Latah,0,89.8,66.0
1998,Lewis,0,58.2,50.0
1998,Nez Perce,0,52.1,50.0
1998,Shoshone,0,29.6,22.0
1998,Valley,0,16.6,7.0
1999,Ada,48,3155.7,1284.0
1999,Adams,1,18.45,15.0
1999,Bannock,21,957.9,353.0
1999,Bear Lake,2,1687.0,1672.0
1999,Benewah,1,98.11,86.0
1999,Bingham,20,7645.9,2490.0
1999,Blaine,19,148803.7,132208.0
1999,Boise,2,38.75,30.0
1999,Bonner,1,150.4,50.0
1999,Bonneville,10,972.2,340.0
1999,Boundary,0,11.95,3.0
1999,Butte,8,49370.5,49364.0
1999,Camas,2,0.6,0.3
1999,Canyon,4,175.0,121.0
