FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2020,Ada,11,821.7,455.3
2020,Adams,7,1167.1,620.0
2020,Bannock,12,2039.13,1545.7
2020,Bear Lake,1,38.37,38.37
2020,Bingham,17,3157.19,2152.8
2020,Blaine,13,936.51,789.0
2020,Boise,9,597.23,438.0
2020,Bonner,3,1970.0,1276.0
2020,Bonneville,4,69.03,50.5
2020,Butte,5,7679.599999999999,6616.9
2020,Camas,5,2158.9000000000005,2110.3
2020,Canyon,1,13.4,13.4
2020,Caribou,5,459.32,435.0
2020,Cassia,18,98826.95,90143.0
2020,Clark,1,18.7,18.7
2020,Clearwater,3,3609.0,1900.0
2020,Custer,13,3527.19,2523.0
2020,Elmore,20,7611.34,3998.0
2020,Franklin,3,423.81000000000006,381.3
2020,Fremont,6,1740.58,1092.0
2020,Gem,3,205.6,134.6
2020,Gooding,13,2312.59,1152.93
2020,Idaho,17,35451.3,14486.0
2020,Jefferson,2,116.89999999999999,116.6
2020,Jerome,13,1915.27,1556.0
2020,Kootenai,1,1405.0,1405.0
2020,Lemhi,2,41.0,30.0
2020,Lincoln,10,4365.57,3825.9
2020,Madison,1,23.1,23.1
2020,Minidoka,2,95.94,85.94
2020,Oneida,7,4160.780000000001,3783.8
2020,Owyhee,15,13856.55,5427.1
2020,Power,5,226.06,103.2
2020,Teton,1,5.8,5.8
2020,Twin Falls,20,948.3499999999999,589.9
2020,Valley,4,19853.0,19674.0
2020,Washington,4,96878.25,96614.0
2021,Ada,9,797.4,440.4
2021,Adams,9,15.65,12.5
2021,Bannock,10,177.47,117.1
2021,Bear Lake,4,116.63,92.7
2021,Benewah,7,694.7,584.0
2021,Bingham,6,1773.79,1192.0
2021,Blaine,11,576.19,509.5
2021,Boise,13,1138.72,921.0
2021,Bonner,38,7258.85,6595.0
2021,Bonneville,6,189.0,115.7
2021,Boundary,11,92.0,33.0
2021,Butte,1,267.1,267.1
2021,Camas,3,1.15,0.8
2021,Canyon,6,33.900000000000006,20.7
2021,Caribou,3,14.0,10.0
2021,Cassia,31,650.04,300.5
2021,Clearwater,48,18709.13,5006.0
2021,Custer,15,8417.5,8232.0
2021,Elmore,13,434.65000000000003,330.0
2021,Franklin,1,38.2,38.2
2021,Fremont,3,436.0,433.0
2021,Gem,5,202.0,189.0
2021,Gooding,3,32.46,26.0
2021,Idaho,44,99669.44,43802.0
2021,Jefferson,2,36.8,34.3
2021,Jerome,6,6.22,4.38
2021,Kootenai,2,36.0,33.0
2021,Latah,11,378.08,168.0
2021,Lemhi,6,21603.65,20856.0
2021,Lewis,4,6.4,5.0
2021,Lincoln,9,117.26,91.86
