FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,avg_temp_month1,avg_temp_month2,avg_temp_month3,avg_temp_month4,avg_temp_month5,avg_temp_month6,avg_temp_month7,avg_temp_month8,precip_anomaly_month1,precip_anomaly_month2,precip_anomaly_month3,precip_anomaly_month4,precip_anomaly_month5,precip_anomaly_month6,precip_anomaly_month7,precip_anomaly_month8,snow_anomaly_month1,snow_anomaly_month2,snow_anomaly_month3,snow_anomaly_month4,snow_anomaly_month5,snow_anomaly_month6,snow_anomaly_month7,snow_anomaly_month8,temp_anomaly_month1,temp_anomaly_month2,temp_anomaly_month3,temp_anomaly_month4,temp_anomaly_month5,temp_anomaly_month6,temp_anomaly_month7,temp_anomaly_month8,prev_year_acres,avg_acres_3yr,county_id,large_fire
2005,Ada,28,10272.0,8347.0,39.0,46.42857142857143,56.67741935483871,62.03333333333333,70.38709677419355,77.5,94.06451612903226,91.64516129032258,-1.0609523809523809,-0.7923809523809524,-0.3057142857142858,-0.0980952380952382,2.469047619047619,0.17,-0.1623809523809524,-0.3285714285714285,-4.119047619047619,-3.619047619047619,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-0.0399385560675895,0.6304245836265565,1.391705069124427,-0.4587301587301553,-2.1920122887864864,-5.177777777777777,-0.7019969278033784,0.3655913978494567,,,0,1
2006,Ada,28,2236.5,1166.0,42.58064516129032,44.07142857142857,51.193548387096776,62.13333333333333,73.90322580645162,84.7,97.09677419354838,89.16129032258064,0.4690476190476191,-0.6723809523809525,0.7142857142857144,0.5819047619047619,-0.3009523809523808,0.04,0.0576190476190476,-0.3085714285714285,-3.619047619047619,-4.019047619047619,0.0666666666666666,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,3.5407066052227307,-1.7267182735163047,-4.092165898617509,-0.3587301587301539,1.3241167434715777,2.0222222222222257,2.3302611367127497,-2.1182795698924792,10272.0,,0,1
2007,Ada,114,6557.9,2695.0,37.774193548387096,48.0,59.806451612903224,63.733333333333334,76.61290322580645,85.2,98.58064516129032,91.12903225806453,-1.110952380952381,0.1376190476190475,-1.1957142857142855,-0.168095238095238,-1.2609523809523808,0.2099999999999999,-0.1623809523809524,-0.2885714285714286,-3.619047619047619,-0.7190476190476192,-1.0333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-1.2657450076804937,2.201853155055126,4.5207373271889395,1.2412698412698475,4.0337941628264105,2.5222222222222257,3.8141321044546856,-0.1505376344085931,2236.5,,0,1
2008,Ada,14,540.5,472.0,35.516129032258064,43.58620689655172,50.54838709677419,58.53333333333333,73.19354838709677,81.16666666666667,93.09677419354838,90.61290322580643,-0.3509523809523809,-0.5823809523809524,-0.2957142857142858,-0.998095238095238,-0.8409523809523808,-0.2299999999999999,0.0976190476190476,-0.3285714285714285,8.08095238095238,4.780952380952382,-1.3333333333333337,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-3.5238095238095255,-2.2119399483931517,-4.7373271889400925,-3.9587301587301553,0.6144393241167307,-1.5111111111111055,-1.6697388632872503,-0.6666666666666856,6557.9,6355.466666666667,0,0
2009,Ada,86,457.6,293.0,36.83870967741935,45.5,51.193548387096776,62.13333333333333,74.87096774193549,79.2,93.16129032258064,88.38709677419355,-0.4209523809523807,-0.9323809523809524,-0.2457142857142857,-0.5580952380952381,-0.5109523809523808,0.8400000000000001,-0.1023809523809523,1.4614285714285715,2.0809523809523807,-3.019047619047619,1.2666666666666664,-0.2142857142857142,-0.0238095238095238,0.0,0.0,0.0,-2.2012288786482372,-0.2981468449448741,-4.092165898617509,-0.3587301587301539,2.2918586789554496,-3.4777777777777743,-1.605222734254994,-2.892473118279568,540.5,3111.633333333333,0,0
2010,Ada,69,7136.6,4675.0,43.225806451612904,46.892857142857146,54.645161290322584,60.13333333333333,64.48387096774194,78.6,91.12903225806453,88.16129032258064,0.089047619047619,-0.3023809523809525,0.2142857142857142,0.3319047619047619,0.809047619047619,0.07,-0.0723809523809523,-0.0585714285714285,-2.419047619047619,-3.619047619047619,1.866666666666667,0.2857142857142857,-0.0238095238095238,0.0,0.0,0.0,4.185867895545314,1.0947102979122718,-0.6405529953917011,-2.358730158730154,-8.095238095238102,-4.077777777777783,-3.637480798771108,-3.1182795698924792,457.6,2518.6666666666665,0,1
2011,Ada,269,25005.3,10527.0,38.903225806451616,43.964285714285715,52.58064516129032,56.46666666666667,66.90322580645162,76.26666666666667,91.51612903225806,93.5483870967742,0.0390476190476192,-0.6123809523809525,0.7442857142857142,0.2819047619047619,0.3190476190476192,-0.2799999999999999,-0.1623809523809524,-0.3285714285714285,-5.319047619047619,0.980952380952381,-0.4333333333333333,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-0.1367127496159739,-1.8338611306591588,-2.7050691244239644,-6.025396825396818,-5.675883256528422,-6.411111111111111,-3.2503840245775706,2.2688172043010866,7136.6,2711.566666666667,0,1
2012,Ada,115,13181.5,2630.0,43.193548387096776,47.206896551724135,56.935483870967744,66.3,71.58064516129032,82.03333333333333,96.93548387096774,93.96774193548389,1.4290476190476191,-0.4623809523809524,0.7242857142857142,0.8319047619047619,-0.5909523809523809,-0.55,-0.1123809523809523,-0.3285714285714285,-0.6190476190476195,-3.019047619047619,0.7666666666666664,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,4.153609831029186,1.4087497067792611,1.649769585253459,3.8079365079365104,-0.9984639016897175,-0.6444444444444457,2.168970814132109,2.6881720430107663,25005.3,10866.5,0,1
2013,Ada,115,5695.400000000001,1064.0,27.225806451612904,43.892857142857146,56.806451612903224,62.06666666666667,74.19354838709677,84.46666666666667,97.5483870967742,93.6774193548387,-0.0809523809523808,-0.5023809523809525,-1.145714285714286,-0.2980952380952382,-0.7409523809523808,-0.33,-0.0523809523809523,0.1214285714285714,3.7809523809523817,-0.119047619047619,-1.2333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-11.814132104454686,-1.905289702087728,1.5207373271889395,-0.4253968253968168,1.6144393241167307,1.7888888888888914,2.7818740399385717,2.397849462365585,13181.5,15107.800000000001,0,1
2014,Ada,167,643.5,186.0,36.225806451612904,46.57142857142857,55.54838709677419,62.233333333333334,74.58064516129032,80.9,96.12903225806453,88.58064516129032,-0.4809523809523809,1.0876190476190477,0.8342857142857141,0.9019047619047618,-0.8909523809523807,-0.47,-0.1023809523809523,-0.1685714285714285,-2.219047619047619,0.1809523809523812,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-2.8141321044546856,0.7732817264836953,0.2626728110599075,-0.2587301587301525,2.0015360983102823,-1.7777777777777717,1.362519201228892,-2.6989247311827995,5695.400000000001,14627.400000000001,0,0
