STATION,avg_temp,precip,avg_wind,YEAR,MONTH
USC00100010,73.83333333333333,0.47000000000000003,,2005,6
USC00100227,73.4,0.4,,2005,6
USC00100282,73.875,0.78,,2005,6
USC00100375,71.93333333333334,1.39,,2005,6
USC00100448,75.96666666666667,1.37,,2005,6
USC00100470,68.5,3.93,,2005,6
USC00100528,70.25,1.21,,2005,6
USC00100667,71.88888888888889,2.86,,2005,6
USC00100803,69.43333333333334,2.48,,2005,6
USC00100915,72.34482758620689,1.18,,2005,6
USC00101017,72.48275862068965,1.48,,2005,6
USC00101018,78.875,1.49,,2005,6
USC00101079,72.93333333333334,1.8800000000000001,,2005,6
USC00101180,79.23333333333333,1.54,,2005,6
USC00101195,80.21428571428571,0.28,,2005,6
USC00101220,73.23333333333333,0.39,,2005,6
USC00101298,72.2,0.87,,2005,6
USC00101363,67.26666666666667,3.3600000000000003,,2005,6
USC00101384,68.75,1.01,,2005,6
USC00101408,77.66666666666667,1.68,,2005,6
USC00101514,66.63333333333334,2.56,,2005,6
USC00101551,76.5,0.52,,2005,6
USC00101636,,2.48,,2005,6
USC00101671,66.16666666666667,2.65,,2005,6
USC00102159,65.33333333333333,3.26,,2005,6
USC00102187,77.29411764705883,1.02,,2005,6
USC00102260,68.63333333333334,1.4000000000000001,,2005,6
USC00102444,77.4,0.8999999999999999,,2005,6
USC00102575,59.96666666666667,3.4400000000000004,,2005,6
USC00102676,64.96666666666667,3.18,,2005,6
USC00102707,71.9,1.98,,2005,6
USC00102845,75.03333333333333,0.65,,2005,6
USC00102875,66.24137931034483,4.7,,2005,6
USC00102892,67.67857142857143,1.12,,2005,6
USC00102942,77.5,1.54,,2005,6
USC00103108,71.07142857142857,0.89,,2005,6
USC00103143,69.0,5.82,,2005,6
USC00103297,71.4,0.95,,2005,6
USC00103448,75.43333333333334,2.25,,2005,6
USC00103554,67.7,3.31,,2005,6
USC00103558,67.63333333333334,1.1400000000000001,,2005,6
USC00103631,82.2,0.69,,2005,6
USC00103732,71.03333333333333,2.26,,2005,6
USC00103760,80.68,0.8400000000000001,,2005,6
USC00103771,66.76666666666667,3.2399999999999998,,2005,6
USC00103932,81.0,0.52,,2005,6
USC00103964,74.83333333333333,0.9500000000000001,,2005,6
USC00104140,75.06896551724138,1.01,,2005,6
USC00104150,65.4,2.2800000000000002,,2005,6
USC00104230,65.43333333333334,0.0,,2005,6
USC00104268,70.46666666666667,1.18,,2005,6
USC00104295,72.77272727272727,0.66,,2005,6
USC00104318,81.52380952380952,1.04,,2005,6
USC00104384,71.17241379310344,0.6000000000000001,,2005,6
USC00104442,71.37037037037037,1.75,,2005,6
USC00104455,74.63333333333334,3.67,,2005,6
USC00104456,68.36666666666666,2.7,,2005,6
USC00104598,65.63333333333334,4.94,,2005,6
USC00104670,77.86666666666666,0.75,,2005,6
USC00104793,75.2,0.6100000000000001,,2005,6
USC00104831,70.58620689655173,2.81,,2005,6
USC00104845,64.73333333333333,2.19,,2005,6
USC00105013,76.3913043478261,2.42,,2005,6
USC00105143,72.53333333333333,3.16,,2005,6
USC00105177,65.96666666666667,3.35,,2005,6
USC00105275,69.76666666666667,2.12,,2005,6
USC00105414,63.32,2.57,,2005,6
USC00105462,67.73333333333333,2.0100000000000002,,2005,6
