STATION,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,YEAR
US1IDAD0002,,,,0.9400000000000001,,,2013
US1IDAD0004,,,,1.47,,,2013
US1IDAD0005,,,,1.09,,,2013
US1IDAD0007,,,,1.04,,,2013
US1IDAD0008,,,,0.91,,,2013
US1IDAD0009,,,,1.24,,,2013
US1IDAD0011,,,,0.79,,,2013
US1IDAD0014,,,,0.71,,,2013
US1IDAD0019,,,,1.28,,,2013
US1IDAD0020,,,,0.88,,,2013
US1IDAD0021,,,,1.24,,,2013
US1IDAD0025,,,,1.79,,,2013
US1IDAD0026,,,,0.6200000000000001,,,2013
US1IDAM0001,,,,0.8300000000000001,,,2013
US1IDBD0001,,,,3.92,,,2013
US1IDBD0004,,,,4.32,,,2013
US1IDBK0001,,,,3.56,,,2013
US1IDBL0001,,,,0.66,,,2013
US1IDBN0003,,,,0.27,,,2013
US1IDBR0002,,,,6.2,,,2013
US1IDBR0003,,,,5.63,,,2013
US1IDBR0008,,,,5.63,,,2013
US1IDBR0014,,,,5.81,,,2013
US1IDBR0015,,,,6.64,,,2013
US1IDBR0017,,,,5.71,,,2013
US1IDBR0018,,,,4.48,,,2013
US1IDBR0019,,,,4.3,,,2013
US1IDBR0022,,,,0.41000000000000003,,,2013
US1IDBS0001,,,,0.6000000000000001,,,2013
US1IDBS0004,,,,3.6,,,2013
US1IDBV0006,,,,1.31,,,2013
US1IDBV0008,,,,0.0,,,2013
US1IDBW0002,,,,4.79,,,2013
US1IDBW0003,,,,2.6500000000000004,,,2013
US1IDCR0001,,,,1.7,,,2013
US1IDCT0001,,,,1.35,,,2013
US1IDCW0004,,,,3.75,,,2013
US1IDCW0006,,,,3.42,,,2013
US1IDCW0007,,,,3.79,,,2013
US1IDCY0001,,,,0.59,,,2013
US1IDCY0012,,,,0.88,,,2013
US1IDCY0013,,,,0.91,,,2013
US1IDCY0014,,,,1.07,,,2013
US1IDEL0001,,,,0.57,,,2013
US1IDFK0001,,,,1.23,,,2013
US1IDFM0002,,,,0.54,,,2013
US1IDGD0001,,,,0.46,,,2013
US1IDID0001,,,,3.85,,,2013
US1IDID0002,,,,3.67,,,2013
US1IDID0004,,,,2.97,,,2013
US1IDID0005,,,,4.99,,,2013
US1IDID0006,,,,2.2600000000000002,,,2013
US1IDKT0001,,,,6.4799999999999995,,,2013
US1IDKT0003,,,,5.37,,,2013
US1IDKT0005,,,,5.109999999999999,,,2013
US1IDKT0006,,,,5.01,,,2013
US1IDKT0008,,,,5.64,,,2013
US1IDKT0012,,,,4.89,,,2013
US1IDKT0013,,,,6.7,,,2013
US1IDKT0014,,,,6.0,,,2013
US1IDKT0018,,,,5.01,,,2013
US1IDKT0019,,,,6.42,,,2013
US1IDKT0021,,,,5.04,,,2013
US1IDLM0001,,,,1.93,,,2013
US1IDLT0001,,,,2.7399999999999998,,,2013
US1IDLT0003,,,,1.43,,,2013
US1IDLT0004,,,,3.37,,,2013
US1IDLT0010,,,,2.66,,,2013
US1IDLW0002,,,,3.73,,,2013
US1IDMD0001,,,,1.0,,,2013
US1IDNP0001,,,,0.74,,,2013
US1IDNP0003,,,,3.31,,,2013
US1IDON0001,,,,0.88,,,2013
US1IDPW0001,,,,0.87,,,2013
US1IDPW0003,,,,0.55,,,2013
US1IDPW0004,,,,1.04,,,2013
US1IDSH0001,,,,4.85,,,2013
US1IDSH0002,,,,4.29,,,2013
US1IDTF0001,,,,0.62,,,2013
US1IDTF0003,,,,0.89,,,2013
US1IDTF0004,,,,0.22,,,2013
US1IDVL0001,,,,2.3200000000000003,,,2013
USC00100010,86.52222222222223,101.0,35.0,1.41,,,2013
USC00100218,90.41304347826087,101.0,38.0,2.59,,,2013
USC00100375,85.94565217391305,97.0,33.0,0.55,,,2013
USC00100470,83.95522388059702,95.0,34.0,1.92,,,2013
USC00100528,82.32075471698113,98.0,36.0,5.63,,,2013
USC00100667,77.25,94.0,36.0,6.49,,,2013
USC00100803,85.04347826086956,97.0,29.0,1.24,,,2013
USC00100915,86.50549450549451,98.0,38.0,1.3800000000000001,,,2013
USC00101017,87.17977528089888,103.0,38.0,1.46,,,2013
USC00101018,90.5,109.0,42.0,0.0,,,2013
USC00101079,81.62637362637362,97.0,42.0,4.31,,,2013
USC00101220,87.67032967032966,99.0,39.0,0.51,,,2013
USC00101363,79.27173913043478,94.0,35.0,5.24,,,2013
USC00101408,93.52747252747253,107.0,35.0,1.53,,,2013
USC00101514,82.03260869565217,97.0,29.0,2.84,,,2013
USC00101671,80.98901098901099,93.0,26.0,0.64,,,2013
USC00101831,,,,4.29,,,2013
USC00101956,80.35227272727273,95.0,42.0,4.76,,,2013
USC00102159,79.6413043478261,93.0,40.0,4.35,,,2013
USC00102187,90.41463414634147,106.0,36.0,1.01,,,2013
USC00102260,85.55434782608695,97.0,34.0,0.61,,,2013
USC00102392,80.75280898876404,96.0,27.0,3.64,,,2013
USC00102444,90.40217391304348,102.0,47.0,0.73,,,2013
USC00102577,75.3804347826087,93.0,25.0,4.59,,,2013
USC00102676,77.91304347826087,88.0,29.0,2.16,,,2013
USC00102707,86.32608695652173,96.0,36.0,1.13,,,2013
USC00102845,88.47826086956522,102.0,43.0,3.54,,,2013
USC00102892,80.51282051282051,98.0,35.0,4.81,,,2013
USC00102942,92.0989010989011,108.0,41.0,0.72,,,2013
USC00103108,88.23809523809524,94.0,44.0,0.05,,,2013
