STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,min_precip_day,avg_wind,max_wind,total_snow
US1IDAD0002,"BOISE 5.3 NW, ID US",43.6695,-116.2653,799.2,2015,,,,2.02,0.0,,,0.0
US1IDAD0004,"BOISE 8.8 NNW, ID US",43.726397,-116.25683,868.4,2015,,,,0.43000000000000005,0.0,,,0.0
US1IDAD0005,"BOISE 4.4 WNW, ID US",43.623078,-116.296346,816.3,2015,,,,1.66,0.0,,,0.0
US1IDAD0007,"KUNA 1.5 SSE, ID US",43.47043,-116.40368,835.8,2015,,,,0.32,0.0,,,0.0
US1IDAD0008,"BOISE 4.9 NNW, ID US",43.6684,-116.2465,882.4,2015,,,,1.55,0.0,,,0.0
US1IDAD0009,"BOISE 2.1 NNE, ID US",43.632278,-116.2045,827.8,2015,,,,2.73,0.0,,,0.0
US1IDAD0011,"BOISE 6.1 SW, ID US",43.5695,-116.3248,824.5,2015,,,,1.3900000000000001,0.0,,,0.0
US1IDAD0014,"BOISE 5.2 NW, ID US",43.66395,-116.250745,808.3,2015,,,,1.57,0.0,,,0.0
US1IDAD0019,"BOISE 3.9 SE, ID US",43.572733,-116.164733,840.0,2015,,,,1.56,0.0,,,0.0
US1IDAD0020,"BOISE 4.8 ESE, ID US",43.5772,-116.1565,834.2,2015,,,,0.56,0.0,,,0.0
US1IDAD0021,"BOISE CITY 6.1 SE, ID US",43.54835,-116.133747,903.7,2015,,,,1.3,0.0,,,0.0
US1IDAD0027,"MERIDIAN 3.9 SE, ID US",43.565025,-116.355514,816.6,2015,,,,0.47000000000000003,0.0,,,0.0
US1IDAM0002,"MCCALL 3.6 WNW, ID US",44.934533,-116.175347,1556.0,2015,,,,1.98,0.0,,,0.0
US1IDBD0001,"BONNERS FERRY 3.5 SSE, ID US",48.644456,-116.287675,687.3,2015,,,,1.93,0.0,,,0.0
US1IDBD0005,"NAPLES 0.4 NW, ID US",48.575062,-116.398477,610.8,2015,,,,2.6500000000000004,0.0,,,0.0
US1IDBD0006,"BONNERS FERRY 2.8 NNW, ID US",48.7310333251953,-116.331321716309,694.6,2015,,,,1.54,0.0,,,0.0
US1IDBK0001,"CHUBBUCK 0.5 WSW, ID US",42.919784,-112.473524,1366.1,2015,,,,2.71,0.0,,,0.0
US1IDBK0009,"POCATELLO 3.3 NE, ID US",42.905056,-112.415575,1470.4,2015,,,,2.8,0.0,,,0.0
US1IDBK0010,"POCATELLO 2.9 E, ID US",42.8707733154297,-112.412551879883,1480.7,2015,,,,0.48000000000000004,0.0,,,0.0
US1IDBK0011,"POCATELLO 1.9 E, ID US",42.878146,-112.413024,1499.9,2015,,,,3.12,0.0,,,0.0
US1IDBK0012,"CHUBBUCK 0.6 SE, ID US",42.9161,-112.457108,1365.2,2015,,,,1.6,0.0,,,0.0
US1IDBL0001,"MONTPELIER 0.6 NNE, ID US",42.3319769,-111.2978528,1816.9,2015,,,,2.38,0.0,,,0.0
US1IDBN0003,"BELLEVUE 0.3 SSE, ID US",43.462591,-114.255351,1582.2,2015,,,,2.25,0.0,,,0.0
US1IDBR0002,"CLARK FORK 3.5 SE, ID US",48.106199,-116.132413,670.6,2015,,,,1.57,0.0,,,0.0
US1IDBR0003,"SAGLE 1.8 NNE, ID US",48.23575,-116.5447,682.8,2015,,,,1.73,0.0,,,0.0
US1IDBR0014,"SAGLE 6.2 WSW, ID US",48.18561,-116.67794,716.0,2015,,,,1.0899999999999999,0.0,,,0.0
US1IDBR0015,"PRIEST RIVER 11.6 SSE, ID US",48.0324,-116.8062,657.5,2015,,,,2.08,0.0,,,0.0
US1IDBR0017,"PRIEST RIVER 8.6 SE, ID US",48.093786,-116.782155,667.8,2015,,,,1.25,0.0,,,0.0
US1IDBR0018,"COOLIN 3.0 NNE, ID US",48.5230904,-116.8223959,755.3,2015,,,,0.9400000000000001,0.0,,,0.0
US1IDBR0019,"DOVER 0.4 SW, ID US",48.2495,-116.605,630.9,2015,,,,1.25,0.0,,,0.0
US1IDBR0022,"HOPE 9.7 NNE, ID US",48.3844,-116.2577667,1011.9,2015,,,,2.75,0.0,,,0.0
US1IDBR0024,"CLARK FORK 2.7 N, ID US",48.186476,-116.166626,695.9,2015,,,,2.2399999999999998,0.0,,,0.0
US1IDBR0025,"OLDTOWN 6.0 S, ID US",48.095573,-117.04068,697.1,2015,,,,0.81,0.0,,,0.0
US1IDBS0001,"BOISE 12.5 ENE, ID US",43.6524047,-115.972948,1039.1,2015,,,,1.52,0.0,,,0.0
US1IDBS0004,"GARDEN VALLEY 2.7 NW, ID US",44.117,-115.99,1047.0,2015,,,,1.78,0.0,,,0.0
US1IDBS0006,"LOWMAN 9.6 ENE, ID US",44.113819,-115.43058,1316.1,2015,,,,3.06,0.0,,,0.0
US1IDBV0006,"IDAHO FALLS 11.7 NE, ID US",43.617649,-111.884038,1487.4,2015,,,,2.68,0.0,,,0.0
US1IDBV0008,"IDAHO FALLS 2.0 S, ID US",43.463593,-112.036363,1435.3,2015,,,,0.02,0.0,,,0.0
US1IDBW0002,"ST. MARIES 7.4 WNW, ID US",47.3647464707,-116.710604143,662.0,2015,,,,1.04,0.0,,,0.0
US1IDBW0003,"ST. MARIES 2.8 S, ID US",47.275,-116.577,766.9,2015,,,,3.32,0.0,,,0.0
US1IDCR0001,"SODA SPRINGS 1.3 WSW, ID US",42.651038,-111.609135,1759.6,2015,,,,4.33,0.0,,,0.0
US1IDCR0002,"GRACE 5.6 SSE, ID US",42.5037879943848,-111.680473327637,1675.2,2015,,,,3.88,0.0,,,0.0
US1IDCT0001,"CHALLIS 10.3 S, ID US",44.361542,-114.263852,1588.6,2015,,,,2.34,0.0,,,0.0
US1IDCW0005,"OROFINO 7.8 ESE, ID US",46.442438,-116.107201,806.5,2015,,,,2.41,0.0,,,0.0
US1IDCW0006,"OROFINO 3.8 WNW, ID US",46.499655,-116.335457,311.5,2015,,,,1.65,0.0,,,0.0
US1IDCW0007,"OROFINO 0.7 ESE, ID US",46.485649,-116.24316,335.9,2015,,,,0.0,0.0,,,0.0
US1IDCY0001,"NAMPA 2.8 E, ID US",43.57675,-116.5088,776.9,2015,,,,0.8400000000000001,0.01,,,0.0
US1IDCY0012,"MIDDLETON 0.7 ENE, ID US",43.712911,-116.613,734.3,2015,,,,0.83,0.0,,,0.0
US1IDCY0013,"CALDWELL 5.3 NNW, ID US",43.729685,-116.714626,740.4,2015,,,,1.59,0.0,,,0.0
US1IDCY0014,"CALDWELL 6.2 NNW, ID US",43.73701,-116.732651,749.8,2015,,,,0.75,0.0,,,0.0
US1IDCY0015,"NAMPA 4.8 NNW, ID US",43.6453119,-116.593965,744.9,2015,,,,1.02,0.0,,,0.0
US1IDCY0016,"CALDWELL 1.8 W, ID US",43.654724,-116.710983,724.2,2015,,,,0.43000000000000005,0.0,,,0.0
US1IDCY0017,"NAMPA 3.1 SSE, ID US",43.538654,-116.539955,769.6,2015,,,,1.03,0.0,,,0.0
US1IDEL0001,"GLENNS FERRY 1.6 N, ID US",42.97662,-115.302166,805.3,2015,,,,0.9,0.0,,,0.0
US1IDFK0001,"PRESTON 0.8 SE, ID US",42.088959,-111.863684,1435.9,2015,,,,2.2800000000000002,0.0,,,0.0
US1IDFM0002,"ASHTON 1.4 E, ID US",44.07387,-111.420587,1612.1,2015,,,,1.01,0.0,,,0.0
US1IDGD0001,"HAGERMAN 1.1 ENE, ID US",42.823424,-114.87741,906.8,2015,,,,0.8,0.0,,,0.0
US1IDID0001,"GRANGEVILLE 0.4 SW, ID US",45.921712,-116.126472,1057.4,2015,,,,3.91,0.0,,,0.0
US1IDID0005,"KAMIAH 6.0 NNW, ID US",46.311811,-116.055339,961.9,2015,,,,2.88,0.0,,,0.0
US1IDID0006,"LUCILE 1.2 NNE, ID US",45.55187,-116.30278,503.2,2015,,,,1.35,0.0,,,0.0
US1IDKT0001,"SPIRIT LAKE 3.6 E, ID US",47.959743,-116.793874,775.4,2015,,,,2.03,0.0,,,0.0
US1IDKT0003,"ATHOL 1.5 ENE, ID US",47.949311,-116.675653,749.5,2015,,,,1.99,0.0,,,0.0
US1IDKT0005,"RATHDRUM 1.4 SSW, ID US",47.79336,-116.90231,673.0,2015,,,,0.5800000000000001,0.0,,,0.0
US1IDKT0006,"COEUR D ALENE 3.6 NW, ID US",47.7440985,-116.8365407,697.1,2015,,,,0.0,0.0,,,0.0
US1IDKT0008,"COEUR D ALENE 2.5 WNW, ID US",47.70838,-116.83667,679.7,2015,,,,2.2,0.0,,,0.0
US1IDKT0012,"COEUR D ALENE 6.6 SSW, ID US",47.61805,-116.861931,769.9,2015,,,,0.8900000000000001,0.0,,,0.0
