STATION,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,YEAR
USC00100010,83.25,98.0,27.0,0.68,,,2005
USC00100227,81.33695652173913,94.0,34.0,1.02,,,2005
USC00100282,86.14285714285714,100.0,36.0,0.8300000000000001,,,2005
USC00100375,81.90217391304348,96.0,29.0,1.6,,,2005
USC00100448,86.81521739130434,105.0,39.0,1.39,,,2005
USC00100470,78.02173913043478,93.0,33.0,5.17,,,2005
USC00100528,81.45454545454545,100.0,33.0,1.52,,,2005
USC00100667,77.57142857142857,96.0,31.0,3.37,,,2005
USC00100803,79.41304347826087,96.0,29.0,3.81,,,2005
USC00100915,82.74444444444444,98.0,34.0,2.57,,,2005
USC00101017,83.37362637362638,101.0,34.0,1.52,,,2005
USC00101018,90.53846153846153,108.0,39.0,1.55,,,2005
USC00101024,,,,0.02,,,2005
USC00101079,81.42696629213484,96.0,39.0,2.91,,,2005
USC00101180,90.20652173913044,107.0,47.0,1.8699999999999999,,,2005
USC00101195,89.9438202247191,106.0,37.0,0.28,,,2005
USC00101220,83.1195652173913,98.0,39.0,1.1400000000000001,,,2005
USC00101298,82.40217391304348,98.0,34.0,1.27,,,2005
USC00101363,76.56521739130434,94.0,39.0,4.92,,,2005
USC00101384,82.73584905660377,100.0,23.0,1.07,,,2005
USC00101408,89.0,106.0,33.0,1.93,,,2005
USC00101514,76.77173913043478,92.0,28.0,3.13,,,2005
USC00101551,86.03260869565217,100.0,36.0,0.88,,,2005
USC00101636,,,,2.73,,,2005
USC00101671,74.81666666666666,93.0,28.0,3.56,,,2005
USC00101956,82.47540983606558,95.0,48.0,2.1,,,2005
USC00102159,75.72826086956522,93.0,37.0,3.89,,,2005
USC00102187,87.88,101.0,35.0,1.0399999999999998,,,2005
USC00102260,79.93478260869566,95.0,26.0,1.47,,,2005
USC00102444,85.92307692307692,101.0,41.0,0.97,,,2005
USC00102575,71.43333333333334,89.0,23.0,4.47,,,2005
USC00102676,73.90217391304348,91.0,29.0,5.79,,,2005
USC00102707,81.80434782608695,99.0,30.0,2.5300000000000002,,,2005
USC00102845,85.06521739130434,104.0,42.0,1.0,,,2005
USC00102875,77.1842105263158,98.0,26.0,5.08,,,2005
USC00102892,77.92592592592592,95.0,32.0,1.26,,,2005
USC00102942,87.34782608695652,107.0,39.0,1.73,,,2005
USC00103108,80.73255813953489,97.0,26.0,0.89,,,2005
USC00103143,83.17045454545455,101.0,39.0,5.890000000000001,,,2005
USC00103297,80.76829268292683,97.0,32.0,1.7,,,2005
USC00103448,86.3913043478261,102.0,30.0,3.91,,,2005
USC00103554,79.1413043478261,99.0,30.0,4.35,,,2005
USC00103558,77.6375,96.0,30.0,1.26,,,2005
USC00103631,93.02298850574712,110.0,33.0,0.94,,,2005
USC00103732,80.18681318681318,99.0,25.0,4.35,,,2005
USC00103760,90.0919540229885,109.0,37.0,1.07,,,2005
USC00103771,76.41304347826087,94.0,34.0,3.86,,,2005
USC00103932,90.54444444444445,107.0,34.0,0.6900000000000001,,,2005
USC00103940,84.29032258064517,95.0,39.0,0.01,,,2005
USC00103964,83.94565217391305,99.0,29.0,1.4100000000000001,,,2005
USC00104140,85.26666666666667,102.0,36.0,1.23,,,2005
USC00104150,76.79347826086956,95.0,30.0,2.68,,,2005
USC00104230,65.43333333333334,83.0,26.0,0.0,,,2005
USC00104268,81.1195652173913,96.0,26.0,1.31,,,2005
USC00104295,82.53846153846153,96.0,34.0,1.22,,,2005
USC00104318,91.54838709677419,109.0,37.0,1.04,,,2005
USC00104384,82.31868131868131,101.0,28.0,1.0,,,2005
USC00104442,82.35227272727273,100.0,28.0,1.95,,,2005
USC00104455,83.82608695652173,98.0,30.0,4.14,,,2005
USC00104456,77.48351648351648,93.0,28.0,4.300000000000001,,,2005
USC00104598,74.31521739130434,87.0,25.0,6.87,,,2005
USC00104670,88.04347826086956,106.0,34.0,1.04,,,2005
USC00104793,86.19565217391305,105.0,28.0,1.34,,,2005
USC00104831,79.0,97.0,36.0,3.81,,,2005
USC00104845,75.77173913043478,91.0,28.0,2.8800000000000003,,,2005
USC00105013,85.49295774647888,102.0,36.0,2.73,,,2005
USC00105143,82.3804347826087,98.0,31.0,4.5600000000000005,,,2005
USC00105177,76.77173913043478,94.0,25.0,4.05,,,2005
USC00105275,79.27173913043478,94.0,32.0,2.41,,,2005
USC00105414,72.44642857142857,89.0,17.0,2.71,,,2005
USC00105462,78.44565217391305,94.0,31.0,3.0300000000000002,,,2005
USC00105567,84.66279069767442,101.0,32.0,1.8,,,2005
USC00105678,85.1195652173913,104.0,35.0,1.19,,,2005
USC00105685,81.56521739130434,97.0,30.0,2.4,,,2005
USC00105708,76.8695652173913,92.0,27.0,3.4,,,2005
USC00105716,82.25,98.0,30.0,3.91,,,2005
USC00105897,81.15217391304348,95.0,32.0,3.19,,,2005
USC00105980,83.65168539325843,100.0,29.0,0.6699999999999999,,,2005
USC00106152,81.83695652173913,99.0,33.0,2.48,,,2005
USC00106174,90.65217391304348,108.0,37.0,0.8,,,2005
USC00106305,88.76086956521739,106.0,40.0,1.31,,,2005
USC00106388,79.98412698412699,97.0,26.0,1.6700000000000002,,,2005
USC00106424,77.01086956521739,97.0,33.0,3.16,,,2005
USC00106542,83.38888888888889,98.0,37.0,2.77,,,2005
USC00106586,85.50819672131148,103.0,32.0,2.37,,,2005
USC00106844,87.68478260869566,103.0,38.0,0.94,,,2005
USC00106877,82.26086956521739,97.0,36.0,1.21,,,2005
USC00106891,89.7439024390244,103.0,39.0,1.1400000000000001,,,2005
USC00107040,80.15217391304348,101.0,30.0,1.18,,,2005
USC00107046,78.58695652173913,97.0,30.0,4.32,,,2005
USC00107188,79.44444444444444,95.0,43.0,0.0,,,2005
USC00107208,84.30434782608695,103.0,33.0,2.55,,,2005
USC00107210,85.21978021978022,100.0,37.0,3.12,,,2005
USC00107264,79.93478260869566,105.0,30.0,7.54,,,2005
USC00107301,79.06666666666666,100.0,35.0,2.7800000000000002,,,2005
USC00107320,78.23076923076923,97.0,31.0,3.44,,,2005
USC00107346,83.95652173913044,98.0,33.0,3.2800000000000002,,,2005
USC00107386,79.28260869565217,94.0,34.0,5.39,,,2005
USC00107561,,,,7.31,,,2005
USC00107563,75.92307692307692,93.0,26.0,5.44,,,2005
USC00107644,78.93478260869566,95.0,31.0,3.69,,,2005
USC00107648,83.1086956521739,101.0,33.0,1.98,,,2005
USC00107673,83.26086956521739,101.0,32.0,1.51,,,2005
USC00107706,89.37931034482759,106.0,43.0,2.64,,,2005
USC00108022,78.23076923076923,92.0,30.0,3.41,,,2005
USC00108062,80.08695652173913,98.0,38.0,2.82,,,2005
USC00108080,81.46666666666667,100.0,34.0,2.82,,,2005
USC00108137,78.12903225806451,94.0,37.0,2.83,,,2005
USC00108246,83.92391304347827,102.0,33.0,3.56,,,2005
USC00108380,94.16129032258064,102.0,49.0,0.02,,,2005
USC00108395,86.52173913043478,100.0,36.0,4.42,,,2005
USC00108412,76.91304347826087,96.0,30.0,1.99,,,2005
USC00108535,80.37931034482759,98.0,10.0,4.14,,,2005
USC00108676,74.89887640449439,91.0,21.0,0.2,,,2005
USC00108928,90.06818181818181,107.0,44.0,1.12,,,2005
USC00108937,78.94565217391305,98.0,29.0,6.03,,,2005
USC00109000,83.8586956521739,102.0,34.0,3.45,,,2005
USC00109065,74.88059701492537,90.0,29.0,3.92,,,2005
USC00109293,92.24193548387096,106.0,40.0,0.51,,,2005
USC00109303,82.22826086956522,97.0,36.0,1.53,,,2005
USC00109560,74.63492063492063,90.0,25.0,2.57,,,2005
USC00109601,75.67391304347827,91.0,24.0,3.82,,,2005
USC00109638,89.40217391304348,105.0,40.0,1.36,,,2005
USC00109846,74.95652173913044,94.0,34.0,2.5300000000000002,,,2005
USC00109951,65.88461538461539,85.0,26.0,1.93,,,2005
USC00109963,86.97826086956522,106.0,36.0,3.77,,,2005
USR0000I3MI,73.54347826086956,90.0,31.0,0.0,,,2005
USR0000IARC,81.79347826086956,98.0,26.0,0.0,,,2005
USR0000IBAS,70.6195652173913,86.0,25.0,0.0,,,2005
USR0000IBEA,69.97826086956522,87.0,29.0,0.0,,,2005
USR0000IBOF,78.8804347826087,96.0,39.0,0.0,,,2005
USR0000IBON,76.70652173913044,92.0,27.0,0.0,,,2005
USR0000IBRA,84.76086956521739,103.0,31.0,0.0,,,2005
USR0000IBUL,80.55434782608695,98.0,26.0,0.0,,,2005
USR0000ICAN,64.8586956521739,95.0,25.0,0.0,,,2005
USR0000ICHL,82.27710843373494,101.0,35.0,0.0,,,2005
USR0000ICOP,69.8695652173913,86.0,16.0,0.0,,,2005
USR0000ICOT,84.19565217391305,103.0,42.0,0.0,,,2005
USR0000ICRY,82.79347826086956,99.0,31.0,0.0,,,2005
USR0000IDEA,83.09782608695652,99.0,42.0,0.0,,,2005
USR0000IDEN,85.26086956521739,104.0,40.0,0.0,,,2005
USR0000IDEP,78.04347826086956,95.0,30.0,0.0,,,2005
USR0000IDER,78.73913043478261,97.0,37.0,0.0,,,2005
USR0000IDIA,73.42391304347827,90.0,23.0,0.0,,,2005
USR0000IEAG,78.4,92.0,38.0,0.0,,,2005
USR0000IEZR,72.94565217391305,92.0,31.0,0.0,,,2005
USR0000IFEN,86.23913043478261,105.0,39.0,0.0,,,2005
USR0000IFIS,75.03260869565217,94.0,30.0,0.0,,,2005
USR0000IFLE,77.03260869565217,94.0,27.0,0.0,,,2005
USR0000IFLI,83.32608695652173,99.0,32.0,0.0,,,2005
USR0000IGAS,77.81521739130434,94.0,30.0,0.0,,,2005
USR0000IGOO,80.34782608695652,100.0,33.0,0.0,,,2005
USR0000IGRA,78.59782608695652,96.0,32.0,0.0,,,2005
USR0000IGRL,74.5,90.0,23.0,0.0,,,2005
USR0000IHPK,70.6875,86.0,26.0,0.0,,,2005
USR0000IHSB,82.33695652173913,100.0,33.0,0.0,,,2005
USR0000IIND,87.54347826086956,106.0,34.0,0.0,,,2005
USR0000IISP,74.6304347826087,90.0,27.0,0.0,,,2005
USR0000IKEL,81.66292134831461,101.0,36.0,0.0,,,2005
USR0000IKRI,78.73913043478261,97.0,35.0,0.0,,,2005
USR0000ILCR,83.72826086956522,99.0,36.0,0.0,,,2005
USR0000ILEA,76.29347826086956,92.0,29.0,0.0,,,2005
USR0000ILIN,68.41304347826087,89.0,34.0,0.0,,,2005
USR0000ILIT,78.97101449275362,102.0,34.0,0.0,,,2005
USR0000ILOD,73.91304347826087,91.0,25.0,0.0,,,2005
