learning_rate,n_trees,threshold,recall,precision,f1,fires_caught,total_fires,false_alarms
0.05,100,0.2,86.1,42.5,56.9,211,245,286
0.05,100,0.25,78.4,45.6,57.7,192,245,229
0.05,100,0.3,69.8,48.2,57.0,171,245,184
0.05,100,0.35,62.4,51.2,56.2,153,245,146
0.05,100,0.4,55.1,54.0,54.5,135,245,115
0.05,200,0.2,78.0,44.0,56.3,191,245,243
0.05,200,0.25,71.0,46.8,56.4,174,245,198
0.05,200,0.3,62.9,47.2,53.9,154,245,172
0.05,200,0.35,59.2,51.1,54.8,145,245,139
0.05,200,0.4,52.7,52.0,52.3,129,245,119
0.05,300,0.2,73.5,44.8,55.6,180,245,222
0.05,300,0.25,67.8,47.2,55.6,166,245,186
0.05,300,0.3,62.0,48.9,54.7,152,245,159
0.05,300,0.35,56.7,49.3,52.8,139,245,143
0.05,300,0.4,50.2,50.4,50.3,123,245,121
0.1,100,0.2,76.7,42.3,54.6,188,245,256
0.1,100,0.25,71.0,46.8,56.4,174,245,198
0.1,100,0.3,62.4,48.7,54.7,153,245,161
0.1,100,0.35,57.1,51.1,53.9,140,245,134
0.1,100,0.4,51.0,51.2,51.1,125,245,119
0.1,200,0.2,69.0,44.9,54.4,169,245,207
0.1,200,0.25,64.9,47.5,54.8,159,245,176
0.1,200,0.3,58.8,50.0,54.0,144,245,144
0.1,200,0.35,56.3,51.9,54.0,138,245,128
0.1,200,0.4,50.6,52.8,51.7,124,245,111
0.1,300,0.2,65.3,46.8,54.5,160,245,182
0.1,300,0.25,61.6,47.8,53.8,151,245,165
0.1,300,0.3,56.7,48.9,52.6,139,245,145
0.1,300,0.35,53.1,50.4,51.7,130,245,128
0.1,300,0.4,49.8,51.7,50.7,122,245,114
0.15,100,0.2,71.8,45.1,55.4,176,245,214
0.15,100,0.25,66.9,47.8,55.8,164,245,179
0.15,100,0.3,60.8,48.7,54.1,149,245,157
0.15,100,0.35,55.9,49.8,52.7,137,245,138
0.15,100,0.4,51.8,51.2,51.5,127,245,121
0.15,200,0.2,66.1,47.8,55.5,162,245,177
0.15,200,0.25,62.0,48.6,54.5,152,245,161
0.15,200,0.3,57.6,48.6,52.7,141,245,149
0.15,200,0.35,53.5,49.2,51.3,131,245,135
0.15,200,0.4,50.6,50.6,50.6,124,245,121
0.15,300,0.2,61.2,45.9,52.4,150,245,177
0.15,300,0.25,59.2,48.7,53.4,145,245,153
0.15,300,0.3,56.3,49.8,52.9,138,245,139
0.15,300,0.35,52.7,50.2,51.4,129,245,128
0.15,300,0.4,49.8,50.8,50.3,122,245,118
0.2,100,0.2,72.2,45.9,56.1,177,245,209
0.2,100,0.25,64.5,47.4,54.7,158,245,175
0.2,100,0.3,61.2,49.2,54.5,150,245,155
0.2,100,0.35,55.1,49.5,52.1,135,245,138
0.2,100,0.4,51.4,51.0,51.2,126,245,121
0.2,200,0.2,63.7,46.3,53.6,156,245,181
0.2,200,0.25,60.8,48.4,53.9,149,245,159
0.2,200,0.3,59.2,49.8,54.1,145,245,146
0.2,200,0.35,55.9,51.1,53.4,137,245,131
0.2,200,0.4,52.2,52.0,52.1,128,245,118
0.2,300,0.2,62.4,48.0,54.3,153,245,166
0.2,300,0.25,59.2,48.5,53.3,145,245,154
0.2,300,0.3,56.3,48.8,52.3,138,245,145
0.2,300,0.35,53.9,49.8,51.8,132,245,133
0.2,300,0.4,51.4,51.0,51.2,126,245,121
0.25,100,0.2,67.3,46.6,55.1,165,245,189
0.25,100,0.25,62.0,48.3,54.3,152,245,163
0.25,100,0.3,60.0,50.0,54.5,147,245,147
0.25,100,0.35,54.7,49.6,52.0,134,245,136
0.25,100,0.4,52.7,51.0,51.8,129,245,124
0.25,200,0.2,61.6,46.6,53.1,151,245,173
0.25,200,0.25,59.6,48.0,53.2,146,245,158
0.25,200,0.3,56.3,47.9,51.8,138,245,150
0.25,200,0.35,54.3,50.6,52.4,133,245,130
0.25,200,0.4,51.4,52.7,52.1,126,245,113
0.25,300,0.2,57.6,47.3,51.9,141,245,157
0.25,300,0.25,55.5,48.9,52.0,136,245,142
0.25,300,0.3,53.9,49.8,51.8,132,245,133
0.25,300,0.35,51.4,50.8,51.1,126,245,122
0.25,300,0.4,48.6,50.9,49.7,119,245,115
